updateDate,code,code_name,code_clean,行业
2026-04-13,sh.601058,赛轮轮胎,601058,可选消费
2026-04-13,sh.601059,信达证券,601059,金融
2026-04-13,sh.601066,中信建投,601066,金融
2026-04-13,sh.601077,渝农商行,601077,金融
2026-04-13,sh.601088,中国神华,601088,能源
2026-04-13,sh.601100,恒立液压,601100,工业
2026-04-13,sh.601111,中国国航,601111,工业
2026-04-13,sh.601117,中国化学,601117,工业
2026-04-13,sh.601127,赛力斯,601127,可选消费
2026-04-13,sh.601136,首创证券,601136,金融
2026-04-13,sh.601138,工业富联,601138,信息技术
2026-04-13,sh.601166,兴业银行,601166,金融
2026-04-13,sh.601169,北京银行,601169,金融
2026-04-13,sh.601186,中国铁建,601186,工业
2026-04-13,sh.601211,国泰海通,601211,金融
2026-04-13,sh.601225,陕西煤业,601225,能源
2026-04-13,sh.601229,上海银行,601229,金融
2026-04-13,sh.601236,红塔证券,601236,金融
2026-04-13,sh.601238,广汽集团,601238,可选消费
2026-04-13,sh.601288,农业银行,601288,金融
2026-04-13,sh.601298,青岛港,601298,工业
2026-04-13,sh.601318,中国平安,601318,金融
2026-04-13,sh.601319,中国人保,601319,金融
2026-04-13,sh.601328,交通银行,601328,金融
2026-04-13,sh.601336,新华保险,601336,金融
2026-04-13,sh.601360,三六零,601360,信息技术
2026-04-13,sh.601377,兴业证券,601377,金融
2026-04-13,sh.601390,中国中铁,601390,工业
2026-04-13,sh.601398,工商银行,601398,金融
2026-04-13,sh.601456,国联民生,601456,金融
2026-04-13,sh.601600,中国铝业,601600,原材料
2026-04-13,sh.601601,中国太保,601601,金融
2026-04-13,sh.601607,上海医药,601607,医药卫生
2026-04-13,sh.601618,中国中冶,601618,工业
2026-04-13,sh.601628,中国人寿,601628,金融
2026-04-13,sh.601633,长城汽车,601633,可选消费
2026-04-13,sh.601658,邮储银行,601658,金融
2026-04-13,sh.601668,中国建筑,601668,工业
2026-04-13,sh.601669,中国电建,601669,工业
2026-04-13,sh.601688,华泰证券,601688,金融
2026-04-13,sh.601689,拓普集团,601689,可选消费
2026-04-13,sh.601698,中国卫通,601698,通信服务
2026-04-13,sh.601728,中国电信,601728,通信服务
2026-04-13,sh.601766,中国中车,601766,工业
2026-04-13,sh.601788,光大证券,601788,金融
2026-04-13,sh.601800,中国交建,601800,工业
2026-04-13,sh.601808,中海油服,601808,能源
2026-04-13,sh.601816,京沪高铁,601816,工业
2026-04-13,sh.601818,光大银行,601818,金融
2026-04-13,sh.601825,沪农商行,601825,金融
2026-04-13,sh.601838,成都银行,601838,金融
2026-04-13,sh.601857,中国石油,601857,能源
2026-04-13,sh.601868,中国能建,601868,工业
2026-04-13,sh.601872,招商轮船,601872,工业
2026-04-13,sh.601877,正泰电器,601877,工业
2026-04-13,sh.601878,浙商证券,601878,金融
2026-04-13,sh.601881,中国银河,601881,金融
2026-04-13,sh.601888,中国中免,601888,可选消费
2026-04-13,sh.601898,中煤能源,601898,能源
2026-04-13,sh.601899,紫金矿业,601899,原材料
2026-04-13,sh.601901,方正证券,601901,金融
2026-04-13,sh.601916,浙商银行,601916,金融
2026-04-13,sh.601919,中远海控,601919,工业
2026-04-13,sh.601939,建设银行,601939,金融
2026-04-13,sh.601985,中国核电,601985,公用事业
2026-04-13,sh.601988,中国银行,601988,金融
2026-04-13,sh.601995,中金公司,601995,金融
2026-04-13,sh.601998,中信银行,601998,金融
2026-04-13,sh.603019,中科曙光,603019,信息技术
2026-04-13,sh.603195,公牛集团,603195,可选消费
2026-04-13,sh.603259,药明康德,603259,医药卫生
2026-04-13,sh.603260,合盛硅业,603260,原材料
2026-04-13,sh.603288,海天味业,603288,主要消费
2026-04-13,sh.603296,华勤技术,603296,信息技术
2026-04-13,sh.603369,今世缘,603369,主要消费
2026-04-13,sh.603392,万泰生物,603392,医药卫生
2026-04-13,sh.603501,豪威集团,603501,信息技术
2026-04-13,sh.603799,华友钴业,603799,原材料
2026-04-13,sh.603893,瑞芯微,603893,信息技术
2026-04-13,sh.603986,兆易创新,603986,信息技术
2026-04-13,sh.603993,洛阳钼业,603993,原材料
2026-04-13,sh.605117,德业股份,605117,工业
2026-04-13,sh.605499,东鹏饮料,605499,主要消费
2026-04-13,sh.688008,澜起科技,688008,信息技术
2026-04-13,sh.688009,中国通号,688009,工业
2026-04-13,sh.688012,中微公司,688012,信息技术
2026-04-13,sh.688036,传音控股,688036,信息技术
2026-04-13,sh.688041,海光信息,688041,信息技术
2026-04-13,sh.688047,龙芯中科,688047,信息技术
2026-04-13,sh.688082,盛美上海,688082,信息技术
2026-04-13,sh.688111,金山办公,688111,信息技术
2026-04-13,sh.688126,沪硅产业,688126,信息技术
2026-04-13,sh.688169,石头科技,688169,可选消费
2026-04-13,sh.688187,时代电气,688187,工业
2026-04-13,sh.688223,晶科能源,688223,工业
2026-04-13,sh.688256,寒武纪,688256,信息技术
2026-04-13,sh.688271,联影医疗,688271,医药卫生
2026-04-13,sh.688303,大全能源,688303,工业
2026-04-13,sh.688396,华润微,688396,信息技术
2026-04-13,sh.688472,阿特斯,688472,工业
2026-04-13,sh.688506,百利天恒,688506,医药卫生
2026-04-13,sh.688981,中芯国际,688981,信息技术
2026-04-13,sz.000001,平安银行,000001,金融
2026-04-13,sz.000002,万科A,000002,房地产
2026-04-13,sz.000063,中兴通讯,000063,通信服务
2026-04-13,sz.000100,TCL科技,000100,信息技术
2026-04-13,sz.000157,中联重科,000157,工业
2026-04-13,sz.000166,申万宏源,000166,金融
2026-04-13,sz.000301,东方盛虹,000301,原材料
2026-04-13,sz.000333,美的集团,000333,可选消费
2026-04-13,sz.000338,潍柴动力,000338,工业
2026-04-13,sz.000408,藏格矿业,000408,原材料
2026-04-13,sz.000425,徐工机械,000425,工业
2026-04-13,sz.000538,云南白药,000538,医药卫生
2026-04-13,sz.000568,泸州老窖,000568,主要消费
2026-04-13,sz.000596,古井贡酒,000596,主要消费
2026-04-13,sz.000617,中油资本,000617,金融
2026-04-13,sz.000625,长安汽车,000625,可选消费
2026-04-13,sz.000630,铜陵有色,000630,原材料
2026-04-13,sz.000651,格力电器,000651,可选消费
2026-04-13,sz.000661,长春高新,000661,医药卫生
2026-04-13,sz.000708,中信特钢,000708,原材料
2026-04-13,sz.000725,京东方A,000725,信息技术
2026-04-13,sz.000768,中航西飞,000768,工业
2026-04-13,sz.000776,广发证券,000776,金融
2026-04-13,sz.000786,北新建材,000786,工业
2026-04-13,sz.000792,盐湖股份,000792,原材料
2026-04-13,sz.000807,云铝股份,000807,原材料
2026-04-13,sz.000858,五粮液,000858,主要消费
2026-04-13,sz.000876,新希望,000876,主要消费
2026-04-13,sz.000895,双汇发展,000895,主要消费
2026-04-13,sz.000938,紫光股份,000938,通信服务
2026-04-13,sz.000963,华东医药,000963,医药卫生
2026-04-13,sz.000975,山金国际,000975,原材料
2026-04-13,sz.000977,浪潮信息,000977,信息技术
2026-04-13,sz.000983,山西焦煤,000983,能源
2026-04-13,sz.000999,华润三九,000999,医药卫生
2026-04-13,sz.001391,国货航,001391,工业
2026-04-13,sz.001965,招商公路,001965,工业
2026-04-13,sz.001979,招商蛇口,001979,房地产
2026-04-13,sz.002001,新和成,002001,医药卫生
2026-04-13,sz.002027,分众传媒,002027,通信服务
2026-04-13,sz.002028,思源电气,002028,工业
2026-04-13,sz.002049,紫光国微,002049,信息技术
2026-04-13,sz.002050,三花智控,002050,可选消费
2026-04-13,sz.002074,国轩高科,002074,工业
2026-04-13,sz.002142,宁波银行,002142,金融
2026-04-13,sz.002179,中航光电,002179,工业
2026-04-13,sz.002230,科大讯飞,002230,信息技术
2026-04-13,sz.002236,大华股份,002236,信息技术
2026-04-13,sz.002241,歌尔股份,002241,信息技术
2026-04-13,sz.002252,上海莱士,002252,医药卫生
2026-04-13,sz.002304,洋河股份,002304,主要消费
2026-04-13,sz.002311,海大集团,002311,主要消费
2026-04-13,sz.002352,顺丰控股,002352,工业
2026-04-13,sz.002371,北方华创,002371,信息技术
2026-04-13,sz.002384,东山精密,002384,信息技术
2026-04-13,sz.002415,海康威视,002415,信息技术
2026-04-13,sz.002422,科伦药业,002422,医药卫生
2026-04-13,sz.002459,晶澳科技,002459,工业
2026-04-13,sz.002460,赣锋锂业,002460,原材料
2026-04-13,sz.002463,沪电股份,002463,信息技术
2026-04-13,sz.002466,天齐锂业,002466,原材料
2026-04-13,sz.002475,立讯精密,002475,信息技术
2026-04-13,sz.002493,荣盛石化,002493,原材料
2026-04-13,sz.002594,比亚迪,002594,可选消费
2026-04-13,sz.002600,领益智造,002600,信息技术
2026-04-13,sz.002601,龙佰集团,002601,原材料
2026-04-13,sz.002625,光启技术,002625,工业
2026-04-13,sz.002648,卫星化学,002648,原材料
2026-04-13,sz.002709,天赐材料,002709,工业
2026-04-13,sz.002714,牧原股份,002714,主要消费
2026-04-13,sz.002736,国信证券,002736,金融
2026-04-13,sz.002916,深南电路,002916,信息技术
2026-04-13,sz.002920,德赛西威,002920,可选消费
2026-04-13,sz.002938,鹏鼎控股,002938,信息技术
2026-04-13,sz.003816,中国广核,003816,公用事业
2026-04-13,sz.300014,亿纬锂能,300014,工业
2026-04-13,sz.300015,爱尔眼科,300015,医药卫生
2026-04-13,sz.300033,同花顺,300033,信息技术
2026-04-13,sz.300059,东方财富,300059,金融
2026-04-13,sz.300122,智飞生物,300122,医药卫生
2026-04-13,sz.300124,汇川技术,300124,工业
2026-04-13,sz.300251,光线传媒,300251,通信服务
2026-04-13,sz.300274,阳光电源,300274,工业
2026-04-13,sz.300308,中际旭创,300308,通信服务
2026-04-13,sz.300316,晶盛机电,300316,工业
2026-04-13,sz.300347,泰格医药,300347,医药卫生
2026-04-13,sz.300394,天孚通信,300394,通信服务
2026-04-13,sz.300408,三环集团,300408,信息技术
2026-04-13,sz.300413,芒果超媒,300413,通信服务
2026-04-13,sz.300418,昆仑万维,300418,通信服务
2026-04-13,sz.300433,蓝思科技,300433,信息技术
2026-04-13,sz.300442,润泽科技,300442,通信服务
2026-04-13,sz.300476,胜宏科技,300476,信息技术
2026-04-13,sz.300498,温氏股份,300498,主要消费
2026-04-13,sz.300502,新易盛,300502,通信服务
2026-04-13,sz.300628,亿联网络,300628,通信服务
2026-04-13,sz.300661,圣邦股份,300661,信息技术
2026-04-13,sz.300750,宁德时代,300750,工业
2026-04-13,sz.300759,康龙化成,300759,医药卫生
2026-04-13,sz.300760,迈瑞医疗,300760,医药卫生
2026-04-13,sz.300782,卓胜微,300782,信息技术
2026-04-13,sz.300803,指南针,300803,信息技术
2026-04-13,sz.300832,新产业,300832,医药卫生
2026-04-13,sz.300866,安克创新,300866,信息技术
2026-04-13,sz.300896,爱美客,300896,医药卫生
2026-04-13,sz.300979,华利集团,300979,可选消费
2026-04-13,sz.300999,金龙鱼,300999,主要消费
2026-04-13,sz.301236,软通动力,301236,信息技术
2026-04-13,sz.301269,华大九天,301269,信息技术
2026-04-13,sz.302132,中航成飞,302132,工业
